"https://tienda.mercadona.es/product/10000/medio-pollo-certificado-troceado-alimentado-con-50-maiz-bandeja","carne_aves_y_pollo","Medio pollo certificado troceado alimentado con un 50% de maíz","Bandeja","5.24","5.520","kg","2022-12-07","10000"
"https://tienda.mercadona.es/product/10005/chocolate-liquido-taza-hacendado-brick","cacao_cafe_e_infusiones_cacao_soluble_y_chocolate_a_la_taza","Chocolate líquido a la taza Hacendado","Brick","1.90","1.900","l","2022-12-07","10005"
"https://tienda.mercadona.es/product/10043/batido-chocolate-90-leche-puleva-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido de chocolate 90% leche Puleva","Pack-6","2.50","2.084","l","2022-12-07","10043"
"https://tienda.mercadona.es/product/10050/batido-chocolate-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido de chocolate Hacendado","Pack-6","1.45","1.209","l","2022-12-07","10050"
"https://tienda.mercadona.es/product/10051/batido-vainilla-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido de vainilla Hacendado","Pack-6","1.55","1.292","l","2022-12-07","10051"
"https://tienda.mercadona.es/product/10054/batido-sabor-fresa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido sabor fresa Hacendado","Pack-6","1.55","1.292","l","2022-12-07","10054"
"https://tienda.mercadona.es/product/10055/batido-chocolate-90-leche-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido de chocolate 90% leche Hacendado","Pack-6","1.65","1.375","l","2022-12-07","10055"
"https://tienda.mercadona.es/product/10066/batido-chocolate-colacao-energy-pack-4","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Batido de chocolate ColaCao Energy","Pack-4","2.65","3.524","l","2022-12-07","10066"
"https://tienda.mercadona.es/product/10075/fruta-leche-naranja-mango-hacendado-sin-azucares-anadidos-pack-3","zumos_fruta_variada","Fruta + leche naranja y mango Hacendado sin azúcares añadidos","Pack-3","1.25","1.263","l","2022-12-07","10075"
"https://tienda.mercadona.es/product/10093/fruta-leche-mediterraneo-hacendado-pack-6","zumos_fruta_variada","Fruta + leche Mediterráneo Hacendado","Pack-6","1.10","0.917","l","2022-12-07","10093"
"https://tienda.mercadona.es/product/10106/fruta-leche-caribe-don-simon-zero-materia-grasa-pack-6","zumos_fruta_variada","Fruta + leche Caribe Don Simón zero materia grasa","Pack-6","1.50","1.250","l","2022-12-07","10106"
"https://tienda.mercadona.es/product/10117/nata-fresca-cocinar-hacendado-tarrina","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata fresca para cocinar Hacendado","Tarrina","1.05","5.250","l","2022-12-07","10117"
"https://tienda.mercadona.es/product/10126/fruta-leche-tropical-bifrutas-pascual-pack-6","zumos_fruta_variada","Fruta + leche tropical Bifrutas","Pack-6","2.39","1.992","l","2022-12-07","10126"
"https://tienda.mercadona.es/product/10144/leche-semidesnatada-calcio-puleva-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada calcio Puleva","Pack-6","8.94","1.490","l","2022-12-07","10144"
"https://tienda.mercadona.es/product/10145/leche-desnatada-calcio-puleva-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada calcio Puleva","Pack-6","8.94","1.490","l","2022-12-07","10145"
"https://tienda.mercadona.es/product/10146/bebida-lactea-omega-3-puleva-con-leche-desnatada-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con leche desnatada","Pack-6","10.74","1.790","l","2022-12-07","10146"
"https://tienda.mercadona.es/product/10151/fruta-leche-caribe-hacendado-pack-6","zumos_fruta_variada","Fruta + leche Caribe Hacendado","Pack-6","1.10","0.917","l","2022-12-07","10151"
"https://tienda.mercadona.es/product/10152/fruta-leche-tropical-hacendado-pack-6","zumos_fruta_variada","Fruta + leche tropical Hacendado","Pack-6","1.10","0.917","l","2022-12-07","10152"
"https://tienda.mercadona.es/product/10161/nata-ligera-cocinar-hacendado-brick","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata ligera para cocinar Hacendado","Brick","1.45","2.900","l","2022-12-07","10161"
"https://tienda.mercadona.es/product/10190/fruta-leche-tropical-hacendado-pack-3","zumos_fruta_variada","Fruta + leche tropical Hacendado","Pack-3","0.90","0.910","l","2022-12-07","10190"
"https://tienda.mercadona.es/product/10199/nata-ligera-cocinar-hacendado-pack-3","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata ligera para cocinar Hacendado","Pack-3","1.75","2.917","l","2022-12-07","10199"
"https://tienda.mercadona.es/product/10212/leche-condensada-entera-nutricia-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada entera Nutricia","Bote","1.25","3.149","kg","2022-12-07","10212"
"https://tienda.mercadona.es/product/10216/leche-condensada-entera-nutricia-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada entera Nutricia","Bote","1.50","3.334","kg","2022-12-07","10216"
"https://tienda.mercadona.es/product/10217/leche-condensada-desnatada-nutricia-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada desnatada Nutricia","Bote","1.65","3.667","kg","2022-12-07","10217"
"https://tienda.mercadona.es/product/10219/fruta-leche-mediterraneo-hacendado-pack-3","zumos_fruta_variada","Fruta + leche Mediterráneo Hacendado","Pack-3","0.90","0.910","l","2022-12-07","10219"
"https://tienda.mercadona.es/product/10224/leche-condensada-entera-nutricia-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada entera Nutricia","Bote","2.20","2.200","kg","2022-12-07","10224"
"https://tienda.mercadona.es/product/10226/fruta-leche-mediterraneo-hacendado-brick","zumos_fruta_variada","Fruta + leche Mediterráneo Hacendado","Brick","0.90","0.900","l","2022-12-07","10226"
"https://tienda.mercadona.es/product/10231/fruta-leche-tropical-hacendado-brick","zumos_fruta_variada","Fruta + leche tropical Hacendado","Brick","0.90","0.900","l","2022-12-07","10231"
"https://tienda.mercadona.es/product/10246/fruta-leche-melon-sandia-hacendado-brick","zumos_fruta_variada","Fruta + leche melón y sandía Hacendado","Brick","1.15","1.150","l","2022-12-07","10246"
"https://tienda.mercadona.es/product/10275/nata-montar-hacendado-pack-3","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata para montar Hacendado","Pack-3","1.95","3.250","l","2022-12-07","10275"
"https://tienda.mercadona.es/product/10276/nata-montar-hacendado-brick","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata para montar Hacendado","Brick","1.65","3.300","l","2022-12-07","10276"
"https://tienda.mercadona.es/product/10281/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con nueces y leche desnatada","Pack-6","11.10","1.850","l","2022-12-07","10281"
"https://tienda.mercadona.es/product/10282/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con nueces y leche desnatada","Brick","1.85","1.850","l","2022-12-07","10282"
"https://tienda.mercadona.es/product/10286/dulce-leche-chimbote-tarro","azucar_caramelos_y_chocolate_chocolate","Dulce de leche Chimbote","Tarro","2.75","6.396","kg","2022-12-07","10286"
"https://tienda.mercadona.es/product/10314/horchata-fresca-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Horchata fresca Hacendado","Botella","2.00","2.667","l","2022-12-07","10314"
"https://tienda.mercadona.es/product/10320/nata-ligera-cocinar-sin-lactosa-hacendado-pack-3","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata ligera para cocinar sin lactosa Hacendado","Pack-3","2.40","4.000","l","2022-12-07","10320"
"https://tienda.mercadona.es/product/10350/cafe-capsula-extra-fuerte-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula extra fuerte Hacendado","Caja","3.40","32.693","kg","2022-12-07","10350"
